epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6867,2.0815,4.19751,1.66843,0.39761,0.18484,0.12747,0.05094,2.12703,4.64896,1.58135,0.000175,0.000175,0.000175
2,24.9914,1.76246,2.29598,1.43757,0.01013,0.3623,0.00637,0.00282,nan,nan,nan,0.000358911,0.000358911,0.000358911
3,33.1265,1.77592,1.87889,1.47364,0.00035,0.00787,0.00018,6e-05,nan,nan,nan,0.00053911,0.00053911,0.00053911
4,40.8641,1.88447,1.82549,1.54566,0.0006,0.0407,0.00028,0.00011,nan,nan,nan,0.000715596,0.000715596,0.000715596
5,48.3785,1.83992,1.73438,1.52826,0.45322,0.19245,0.09599,0.04412,2.23138,9.38651,2.53388,0.00088837,0.00088837,0.00088837
6,55.9768,1.8249,1.57113,1.50316,0.25207,0.01667,0.0005,0.00021,nan,nan,nan,0.00105743,0.00105743,0.00105743
7,63.5012,1.75521,1.56302,1.49908,0.00015,0.03776,8e-05,2e-05,4.03778,inf,71.4725,0.00117575,0.00117575,0.00117575
8,70.682,1.81061,1.61834,1.50877,0.25147,0.00272,0.00057,9e-05,nan,nan,nan,0.00116337,0.00116337,0.00116337
9,78.2203,1.76141,1.49766,1.50344,0.07486,0.38479,0.03035,0.01237,2.24813,127.181,2.51122,0.001151,0.001151,0.001151
10,85.5555,1.73973,1.46515,1.47705,0.32966,0.11175,0.04778,0.01931,2.50332,5.53786,2.37328,0.00113863,0.00113863,0.00113863
11,93.0462,1.69613,1.38149,1.46698,0.20742,0.17442,0.1089,0.03125,2.66289,10.2035,2.80894,0.00112625,0.00112625,0.00112625
12,100.418,1.67856,1.34139,1.45137,0.38953,0.35006,0.29297,0.12526,1.91549,12.0426,1.83098,0.00111388,0.00111388,0.00111388
13,108.259,1.70479,1.31918,1.45062,0.28143,0.34604,0.20219,0.07841,nan,nan,nan,0.0011015,0.0011015,0.0011015
14,115.625,1.62554,1.33459,1.42816,0.49466,0.29599,0.24936,0.1128,1.76662,6.87177,1.66108,0.00108913,0.00108913,0.00108913
15,123.087,1.62663,1.30266,1.43782,0.61867,0.2925,0.25701,0.12595,1.7727,4.25623,1.58562,0.00107675,0.00107675,0.00107675
16,130.766,1.63894,1.28828,1.40745,0.66324,0.32026,0.37193,0.16271,1.6371,6.55603,1.57371,0.00106437,0.00106437,0.00106437
17,138.419,1.64867,1.26911,1.42503,0.52697,0.34084,0.34206,0.15218,1.70301,6.43571,1.59287,0.001052,0.001052,0.001052
18,145.787,1.61007,1.19425,1.3914,0.5484,0.44537,0.41389,0.20473,1.59126,5.88431,1.49867,0.00103962,0.00103962,0.00103962
19,153.415,1.58758,1.22755,1.37127,0.60047,0.53221,0.50119,0.23641,1.41774,3.63776,1.43109,0.00102725,0.00102725,0.00102725
20,161.061,1.56751,1.17511,1.35552,0.77139,0.45824,0.54318,0.25505,1.54037,5.57881,1.4609,0.00101488,0.00101488,0.00101488
21,168.801,1.5611,1.15831,1.3918,0.72164,0.37627,0.43902,0.21636,1.7256,4.96353,1.70238,0.0010025,0.0010025,0.0010025
22,176.091,1.55178,1.12879,1.34824,0.75694,0.41505,0.43214,0.20282,1.65866,3.37314,1.56488,0.000990125,0.000990125,0.000990125
23,183.549,1.55549,1.0875,1.35567,0.55951,0.59208,0.56499,0.27118,1.45428,3.37332,1.38696,0.00097775,0.00097775,0.00097775
24,191.209,1.5218,1.05708,1.3133,0.68685,0.55595,0.58586,0.26964,1.74661,2.39843,1.65071,0.000965375,0.000965375,0.000965375
25,198.864,1.48833,1.0206,1.3249,0.71023,0.42922,0.49986,0.24357,1.60606,3.34673,1.58159,0.000953,0.000953,0.000953
26,206.28,1.40989,1.02207,1.26022,0.51163,0.49564,0.5184,0.23779,1.49042,2.3852,1.45911,0.000940625,0.000940625,0.000940625
27,213.784,1.43261,1.0392,1.29501,0.51674,0.58111,0.53649,0.25624,1.7575,2.57649,1.60373,0.00092825,0.00092825,0.00092825
28,221.11,1.43441,0.99607,1.29549,0.63436,0.57899,0.56593,0.24793,1.56827,2.80267,1.47537,0.000915875,0.000915875,0.000915875
29,228.522,1.43852,0.94526,1.31348,0.66953,0.61018,0.61,0.27539,1.56492,1.80383,1.49747,0.0009035,0.0009035,0.0009035
30,236.023,1.41326,0.93081,1.27397,0.63386,0.58594,0.60997,0.2688,1.63911,2.18555,1.48286,0.000891125,0.000891125,0.000891125
31,243.446,1.38494,0.92504,1.23072,0.60101,0.60826,0.58241,0.27594,1.39451,2.40431,1.35163,0.00087875,0.00087875,0.00087875
32,250.844,1.41015,0.91049,1.28618,0.4939,0.61255,0.57322,0.28966,1.37312,1.59123,1.35385,0.000866375,0.000866375,0.000866375
33,258.524,1.36297,0.95504,1.25013,0.60213,0.64066,0.58522,0.29644,1.47763,2.10334,1.43349,0.000854,0.000854,0.000854
34,266.089,1.33395,0.87136,1.24449,0.64607,0.65406,0.64345,0.30595,1.47015,2.4201,1.41345,0.000841625,0.000841625,0.000841625
35,273.833,1.32399,0.87315,1.21869,0.55046,0.59177,0.55569,0.25284,1.42681,2.84349,1.40636,0.00082925,0.00082925,0.00082925
36,281.143,1.33564,0.89709,1.23514,0.57812,0.60081,0.57329,0.28828,1.39925,1.84912,1.36506,0.000816875,0.000816875,0.000816875
37,288.612,1.30212,0.8585,1.19177,0.62251,0.64423,0.63851,0.31817,1.56058,2.15375,1.423,0.0008045,0.0008045,0.0008045
38,296.13,1.28357,0.82666,1.19969,0.58709,0.67137,0.65161,0.31451,1.46942,1.69164,1.41588,0.000792125,0.000792125,0.000792125
39,303.693,1.26606,0.85423,1.19031,0.67261,0.51319,0.57355,0.27717,1.53689,1.94966,1.4725,0.00077975,0.00077975,0.00077975
40,310.995,1.2766,0.83365,1.19858,0.68089,0.58132,0.60082,0.28743,1.52649,1.42854,1.42338,0.000767375,0.000767375,0.000767375
41,318.437,1.24771,0.80204,1.19943,0.66616,0.65933,0.6538,0.31007,1.72358,2.72018,1.81985,0.000755,0.000755,0.000755
42,325.818,1.23738,0.81673,1.20534,0.52717,0.6826,0.60953,0.29237,1.66743,2.23722,1.63774,0.000742625,0.000742625,0.000742625
43,333.191,1.26952,0.81251,1.20207,0.68107,0.61129,0.61568,0.31135,1.4931,1.86083,1.46726,0.00073025,0.00073025,0.00073025
